product_id,product_name,maker_id,brand_id,category1_id,category2_id,jan_code,release_date,release_date_additional,rating,points,review_count,is_best_cosme,is_rankin_cosme,price_with_tax,net_content,description,ingredients,how_to_use,features,caution,buy_url
10206485,リップモンスター,5,22,1015,,4973167820179,2021/5/1,2024/4/20,5.5,1868,21829,1,1,1540,,"
つけたての色がそのまま持続。保湿・色持ちを兼ね備えた高発色リップです。唇から蒸発する水分を活用して密着ジェル膜に変化。独自技術*により長時間の色持ちを実現。*メーカー独自の色持ち技術",テトライソステアリン酸ジペンタエリスリチル、トリ(カプリル酸/カプリン酸)グリセリル、オクチルドデカノール、ラウロイルグルタミン酸ジ(フィトステリル/オクチルドデシル)、ビスアルキル(C16-18)グリセリルウンデシルジメチコン、イソノナン酸イソトリデシル、水添ポリイソブテン、ラウロイルグルタミン酸ジ(オクチルドデシル/フィトステリル/ベヘニル)、パラフィン、合成ワックス、ダイマージリノール酸(フィトステリル/イソステアリル/セチル/ステアリル/ベヘニル)、マイクロクリスタリンワックス、水添マイクロクリスタリンワックス、ヒドロキシステアリン酸エチルヘキシル、トコフェロール、ホホバ種子油、オリーブ果実油、アーモンド油、(エチレン/プロピレン)コポリマー、ポリエチレン、ジメチコン、(+/-)(チタン/酸化チタン)焼結物、マイカ、ラウロイルアスパラギン酸Na、ラウロイルリシン、塩化亜鉛、酸化チタン、酸化鉄、水酸化Al、硫酸Ba、トリイソステアリン酸イソプロピルチタン、酸化スズ、ホウケイ酸(Ca/Al)、合成フルオロフロゴパイト、黄4、黄5、赤104(1)、赤201、赤202,,,,https://www.cosme.com/products/detail.php?product_id=223299
10233483,ディオール アディクト リップ マキシマイザー,72,46,1031,1016,3348901635998,2023/1/20,2024/4/12,5.7,654,4463,1,1,4730,,"
リニューアル発売
うるおいとふっくらボリュームアップ(*1)をもたらすリッププランパーが、クールなセンセーションはそのままに、自然由来成分(*2)の使用にこだわったフォーミュラに進化して登場。チェリーオイル(*3)とヒアルロン酸(*4)をたっぷりと配合した処方は、90%(*2)が自然由来成分で構成。透明感を際立たせるナチュラルなカラーから鮮やかに発色する魅力溢れるシェードまで幅広く揃え、あらゆるメイクアップのリクエストに応えます。仕上がりのバリエーションも、新たに4つのフィニッシュが登場。1日中続く潤いと、あふれる輝きを得て、滑らかでふっくらとボリュームアップ(*1)した唇を叶えます。ケースには、シルバーに煌めく「ディオール オブリーク」のシグネチャーがあしらわれ、ジュエリーのような華やかなクチュールデザインにアップグレード。
・クラシック：#001に代表される、初代から存在する「ザ・クラシック」。みずみずしい輝き。
・シマー：繊細で透明感のある輝き。
・ホログラフィック：マイクログリッターの効果で、煌めく輝き。
・インテンス：鮮やかな発色とフレッシュさあふれる輝き。
(*1)メイクアップ効果
(*2)自然由来指数90%(水0%を含む)ISO16128準拠
(*3)セイヨウミザクラ種子油(保湿成分)
(*4)ヒアルロン酸Na(保湿成分)",,"
1.単独、もしくはリップバームやリップスティックの上にで使用するとミラーのようなツヤと輝きをもたらすグロス エフェクトが生まれます。
2.口紅のベースとして使用する際は、余分なグロスを拭き取ってから口紅を塗布してください。潤いのある滑らかな唇に仕上がります。
3.ディオール アディクト リップ マキシマイザー セラムと組み合わせれば、集中ケアを叶えます。
4.ディオール アディクト リップ マキシマイザー #001は就寝前のナイトケアとしてもご使用いただけます。",,,"javascript:tb_show('','/dialog/shopping-link/index/productId/10233483?KeepThis=true&TB_iframe=true&height=240&width=386')"
10230024,ヴィセ エッセンス リッププランパー,3,26,1031,1016,4971710551006,2022/12/1,2023/11/16,5.0,393,3386,1,1,1430,5.5ml,"
グロス、リップベース、リップケアとマルチに使えるリッププランパーです。膜厚なグロスが唇にピタッと密着、ふっくらボリューミーでツヤやかな唇を叶えます。スパイシープランプ成分配合。心地よい刺激感で、ふっくらボリュームアップした唇を叶えます。うるおいを抱えこむオイルと唇表面に膜をつくるオイルを絶妙なバランスで配合。乾燥しがちな唇の水分を逃さず、ぷるんとうるおった唇が長時間つづきます。美容液成分配合。唇にたっぷりのうるおいをあたえ、あれ・乾燥を防ぎます。ほんのり甘く、清涼感のあるバニラミントの香りです。",トリメリト酸トリトリデシル・リンゴ酸ジイソステアリル・水添ポリイソブテン・ポリブテン・デシルテトラデカノール・ダイマージリノレイル水添ロジン縮合物・ジメチルシリル化シリカ・パルミチン酸デキストリン・トコフェロール・ヒアルロン酸Na・BHT・DPG・(エチレン/プロピレン)コポリマー・(パルミチン酸/エチルヘキサン酸)デキストリン・シリカ・ジメチコン・スクワラン・トリイソステアリン酸イソプロピルチタン・トリイソステアリン酸ポリグリセリル-2・ハイドロゲンジメチコン・バニリルブチル・メチコン・メントキシプロパンジオール・水酸化Al・炭酸Ca・香料・酸化チタン・酸化鉄・黄4・赤202,"
付属のチップに適量をとり、唇に直接、または口紅のあとにお使いください。
※温感や清涼感が苦手な方や、肌の弱い方はご使用をお控えください。",,,https://www.cosme.com/products/detail.php?product_id=279437
10247900,ルージュスターヴァイブラント,5,113346,1015,,4973167531723,2024/1/19,2024/7/26,5.7,272,1913,1,1,4620,,"
鼓動を高鳴らせ、自らを突き動かし続ける。まるで唇に生命感を宿したような仕上がりが続く生命感ラスティングルージュ。",,,,,https://www.cosme.com/products/detail.php?product_id=316104
10236509,ヴィセ ネンマクフェイク ルージュ,3,26,1015,,4971710561234,2023/5/16,2024/5/16,4.7,225,2372,1,1,1540,3.8g,"
全6色
粘膜のような色とツヤがピタッと密着して一体化、むっちりとした色気のある唇が長時間つづくルージュ。唇の内側の粘膜のような色・質感を再現した粘膜カラーが、唇の血色を自然に高めて、むっちりとした色気のある印象的な唇へ導くスティックルージュです。するすると軽い塗り心地でなめらかに唇へフィット。みずみずしいツヤ感あふれる仕上がりです。塗布後、２層に分離するコーセー独自のラスティング処方を採用。粘膜カラー層が唇にピタッと密着し、粘膜色フィルムコート成分が透明度の高いツヤの膜でコーティング。美しい発色がつづきます。無香料。",ジフェニルジメチコン・デカエチルヘキサン酸ポリグリセリル-10・(ビニルピロリドン/ヘキサデセン)コポリマー・イソドデカン・トリメチルシロキシフェニルジメチコン・トリイソステアリン酸ポリグリセリル-2・テトラエチルヘキサン酸ペンタエリスリチル・合成ワックス・ジメチコン・フェニルトリメチコン・イソステアリン酸デキストリン・DPG・トコフェロール・ヒアルロン酸Na・BHT・(エイコセン/ビニルピロリドン)コポリマー・(エチレン/プロピレン)コポリマー・アルミナ・カルナウバロウ・キャンデリラロウ・キャンデリラロウエステルズ・シリカ・ジメチルシリル化シリカ・スクワラン・ハイドロゲンジメチコン・炭酸Ca・酸化チタン・酸化鉄・黄4・赤202,"
● 5mmくらいくり出してお使いください。
● 唇に定着するまで（60 秒くらい）、飲食などをしないでください。
※落とすときはポイントメイクアップリムーバーのご使用をおすすめします。",,,https://www.cosme.com/products/detail.php?product_id=290251
10203505,フジコ ニュアンスラップティント,107147,113017,1015,1016,4589474243862,2021/2/22,2023/5/16,5.1,218,2897,1,1,1408,2.4g,"
「落ちない」が前提のウォーターティント処方ルージュ。ウォーターティントでマスクにつきにくく、ツヤも発色もうるおいも、膨らみさえも同時に唇にラッピング。溶けこむニュアンスカラーがカジュアルな色気を叶えます。液だれしにくいとろみテクスチャー。うるおいの膜でもっちりと縦ジワをカバーします。",ビスジグリセリルポリアシルアジペート-2、水、ジフェニルジメチコン、オクチルドデカノール、リンゴ酸ジイソステアリル、グリセリン、セチルPEG/PPG-10/1ジメチコン、DPG、エチルセルロース、イソステアリン酸ソルビタン、ペンチレングリコール、(アクリル酸ヒドロキシエチル/アクリロイルジメチルタウリンNa)コポリマー、スクワラン、セテス-20、ステアロイルグルタミン酸Na、酸化チタン、ポリソルベート60、カプリル酸グリセリル、香料、黄5、エチルヘキシルグリセリン、黄4、赤227、リモネン、トリ(カプリル酸/カプリン酸)グリセリル、リナロール、ツバキ種子油、チャ葉エキス、青1、BG、ヒマワリエキス、オニユリエキス、乳タンパクエキス、リンゴ果実エキス、バラエキス、フェノキシエタノール,,,,https://www.cosme.com/products/detail.php?product_id=219513
10119418,リップティント N,266,91,1031,1015,,2016/11/1,2024/3/1,5.4,185,19295,1,1,1760,,"
透けながら唇そのものを色づかせ、自分だけの色と質感を表現するリップティント。ひと塗りで美しく発色するのに、決して''濃く’’感じさせない、洗練された抜け感のある仕上がりに。ノンパールから、パールやグリッターのきらめく質感まで、バリエーション豊かなラインアップ。唇の水分に反応してキレイに色づく「ティント処方」により、はがれたり色落ちしたりせずにつけたての色をキープ。美容オイル(植物性スクワラン)配合でしっとり保湿ケアまで叶います。スルスル伸びてベタつかない、鏡を見ずに塗れるほどストレスフリーな使い心地。無香料・パラベン不使用・動物由来成分不使用　※プラスチックを削減し環境に配慮した、紙パッケージにリニューアルいたしました。",,,"無香料
パラベンフリー",,
10231631,リップカラーシールド,105,89,1015,,4939553042709,2023/3/10,2024/1/16,4.9,182,1746,1,1,660,3.7g,"
ティントじゃないのに、色も艶も落ちにくい。スッと唇でとろける感覚が心地よい、高密着のジェル膜リップです。唇の水分と反応して、色を守るジェル膜を形成し、ピタッと密着するので落ちにくく、塗りたての美発色が続きます。5種の美容保湿成分配合。まるで美容液のようなとろける塗り心地で、唇のうるおいもしっかりキープします。",,,,,https://www.cosme.com/products/detail.php?product_id=287274
10233050,ロムアンド グラスティングメルティングバーム,110739,118627,1031,1015,4582356612756,2023/3/2,2023/10/12,5.1,174,1453,1,1,1320,,"
全7色
高保湿のオイル成分が、むっちり・もちもちと弾むような質感のツヤ唇へ。植物性原料にこだわり、どこまでもなめらかな使用感を実現しました。ヌーディカラー、ミュートカラーが中心の色展開です。","リンゴ酸ジイソステアリル、ダイマージリノール酸ダイマージリノレイルビス(ベヘニル/イソステアリル/フィトステリル)、トリイソステアリン酸ポリグリセリル-2、ビスジグリセリルポリアシルアジペート-2、パラフィン、トリメリト酸トリトリデシル、テトライソステアリン酸ペンタエリスリチル、マイクロクリスタリンワックス、イソステアリン酸ソルビタン、1,2-ヘキサンジオール、ジステアルジモニウムヘクトライト、合成ワックス、酸化チタン、(エチレン/プロピレン)コポリマー、酸化鉄、炭酸プロピレン、香料、赤104(1)、リモネン、リナロール、ホホバ種子油、アーモンド油、アンズ核油、月見草油、オリーブ果実油、アルガニアスピノサ核油、シア脂、ツバキ種子油、トリ(カプリル/カプリン酸)グリセリル、マンゴー果実エキス、カニナバラ果実エキス",,,"
柔らかいバームのため、繰り出し過ぎにご注意下さい。使用後はケース内に繰り戻してからキャップをお閉め下さい。",https://www.cosme.com/products/detail.php?product_id=291303
10208616,ディオール アディクト リップ グロウ,72,46,1031,1015,3348901550628,2021/6/4,2024/5/3,5.5,171,1884,1,1,4730,3.2g,"
リニューアル発売
ディオールを象徴するナチュラルティントリップバーム。97％自然由来成分を配合した新処方。一人ひとりの女性に合うテイラーメイドの血色感と繊細な輝きで唇を彩り、肌色をも明るく演出します。ディオールロゴがエンボス加工された、新クチュールパッケージで登場。",,,,,"javascript:tb_show('','/dialog/shopping-link/index/productId/10208616?KeepThis=true&TB_iframe=true&height=240&width=386')"
