valiation_id,product_id,valiation_name,img_src
1170664,10206485,15　綿雲33000ft,https://fitter.cosme.net/media/product/10206/skuimg_962586.jpg
1170665,10206485,16　100億haの砂海,https://fitter.cosme.net/media/product/10206/skuimg_962589.jpg
1170666,10206485,17　神秘のローズ園,https://fitter.cosme.net/media/product/10206/skuimg_962592.jpg
1112512,10206485,14 憧れの日光浴,https://fitter.cosme.net/media/product/10206/skuimg_847409.jpg
1112510,10206485,13 3:00AMの微酔,https://fitter.cosme.net/media/product/10206/skuimg_847406.jpg
1170664,10206485,15　綿雲33000ft,https://fitter.cosme.net/media/product/10206/skuimg_962586.jpg
1170665,10206485,16　100億haの砂海,https://fitter.cosme.net/media/product/10206/skuimg_962589.jpg
1170666,10206485,17　神秘のローズ園,https://fitter.cosme.net/media/product/10206/skuimg_962592.jpg
1112512,10206485,14 憧れの日光浴,https://fitter.cosme.net/media/product/10206/skuimg_847409.jpg
1112510,10206485,13 3:00AMの微酔,https://fitter.cosme.net/media/product/10206/skuimg_847406.jpg
1112508,10206485,12 誓いのルビー,https://fitter.cosme.net/media/product/10206/skuimg_847400.jpg
1088043,10206485,11 5:00AM(Web限定),https://fitter.cosme.net/media/product/10206/skuimg-d_28953.jpg
1088042,10206485,10 地底探索(Web限定),https://fitter.cosme.net/media/product/10206/skuimg-d_28949.jpg
1088041,10206485,09 水晶玉のマダム(Web限定),https://fitter.cosme.net/media/product/10206/skuimg-d_28945.jpg
1088040,10206485,08 モーヴシャワー(Web限定),https://fitter.cosme.net/media/product/10206/skuimg-d_28941.jpg
1088039,10206485,07 ラスボス,https://fitter.cosme.net/media/product/10206/skuimg-d_28937.jpg
1088038,10206485,06 2:00AM,https://fitter.cosme.net/media/product/10206/skuimg-d_28933.jpg
1088037,10206485,05 ダークフィグ,https://fitter.cosme.net/media/product/10206/skuimg-d_28929.jpg
1088036,10206485,04 パンプキンワイン,https://fitter.cosme.net/media/product/10206/skuimg-d_28925.jpg
1088035,10206485,03 陽炎,https://fitter.cosme.net/media/product/10206/skuimg-d_28921.jpg
1088034,10206485,02 Pink banana,https://fitter.cosme.net/media/product/10206/skuimg-d_28917.jpg
1088033,10206485,01 欲望の塊,https://fitter.cosme.net/media/product/10206/skuimg-d_28913.jpg
1159311,10206485,110　闇夜のファンファーレ(生産終了),https://fitter.cosme.net/media/product/10206/skuimg_940924.jpg
1159312,10206485,111　茜の静寂(生産終了),https://fitter.cosme.net/media/product/10206/skuimg_940926.jpg
1159313,10206485,112　真夜中の褒美(生産終了),https://fitter.cosme.net/media/product/10206/skuimg_940928.jpg
1152294,10206485,109 6:59PM(生産終了),https://fitter.cosme.net/media/product/10206/skuimg_928214.jpg
